,ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,seasonal,seasonal_lower,seasonal_upper,seasonalities,seasonalities_lower,seasonalities_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,yhat
0,2010-04-01,4.78901821172429,4.78901821172429,4.78901821172429,0.8698563088083099,2.8087457232415662,-2.9698462710263085,-2.9698462710263085,-2.9698462710263085,-2.9698462710263085,-2.9698462710263085,-2.9698462710263085,-0.04591770252211447,-0.04591770252211447,-0.04591770252211447,-2.9239285685041936,-2.9239285685041936,-2.9239285685041936,1.8191719406979816
1,2010-04-02,4.784458497382331,4.784458497382331,4.784458497382331,0.9964782200580679,2.8960517816323263,-2.7838465184585104,-2.7838465184585104,-2.7838465184585104,-2.7838465184585104,-2.7838465184585104,-2.7838465184585104,-0.014689961801521831,-0.014689961801521831,-0.014689961801521831,-2.7691565566569887,-2.7691565566569887,-2.7691565566569887,2.0006119789238204
2,2010-04-03,4.779898783040371,4.779898783040371,4.779898783040371,1.2092400092809634,3.1747840426833713,-2.5822624993057866,-2.5822624993057866,-2.5822624993057866,-2.5822624993057866,-2.5822624993057866,-2.5822624993057866,0.02019891825632778,0.02019891825632778,0.02019891825632778,-2.602461417562114,-2.602461417562114,-2.602461417562114,2.197636283734585
3,2010-04-04,4.775339068698412,4.775339068698412,4.775339068698412,1.3550705646776018,3.4643236185493556,-2.3620770500777115,-2.3620770500777115,-2.3620770500777115,-2.3620770500777115,-2.3620770500777115,-2.3620770500777115,0.062000216093209236,0.062000216093209236,0.062000216093209236,-2.4240772661709205,-2.4240772661709205,-2.4240772661709205,2.4132620186207006
4,2010-04-05,4.770779354356453,4.770779354356453,4.770779354356453,1.5526627764952767,3.58502114115791,-2.179147078036418,-2.179147078036418,-2.179147078036418,-2.179147078036418,-2.179147078036418,-2.179147078036418,0.05523343212259867,0.05523343212259867,0.05523343212259867,-2.2343805101590166,-2.2343805101590166,-2.2343805101590166,2.5916322763200346
5,2010-04-06,4.766219640014493,4.766219640014493,4.766219640014493,1.7068138262148884,3.708179696558823,-2.06000335433428,-2.06000335433428,-2.06000335433428,-2.06000335433428,-2.06000335433428,-2.06000335433428,-0.026113289153503434,-0.026113289153503434,-0.026113289153503434,-2.033890065180777,-2.033890065180777,-2.033890065180777,2.706216285680213
6,2010-04-07,4.761659925672534,4.761659925672534,4.761659925672534,1.9981543547324054,3.918892613137543,-1.8739765436100002,-1.8739765436100002,-1.8739765436100002,-1.8739765436100002,-1.8739765436100002,-1.8739765436100002,-0.050711612994986804,-0.050711612994986804,-0.050711612994986804,-1.8232649306150135,-1.8232649306150135,-1.8232649306150135,2.8876833820625336
7,2010-04-08,4.757100211330575,4.757100211330575,4.757100211330575,2.116728539734692,4.107783586088814,-1.6492168494684865,-1.6492168494684865,-1.6492168494684865,-1.6492168494684865,-1.6492168494684865,-1.6492168494684865,-0.04591770252213953,-0.04591770252213953,-0.04591770252213953,-1.6032991469463471,-1.6032991469463471,-1.6032991469463471,3.107883361862088
8,2010-04-09,4.7525404969886145,4.7525404969886145,4.7525404969886145,2.3520234211326065,4.346224626221336,-1.3896041799985435,-1.3896041799985435,-1.3896041799985435,-1.3896041799985435,-1.3896041799985435,-1.3896041799985435,-0.014689961801512212,-0.014689961801512212,-0.014689961801512212,-1.374914218197031,-1.374914218197031,-1.374914218197031,3.362936316990071
9,2010-04-10,4.747980782646655,4.747980782646655,4.747980782646655,2.674245619351757,4.5186100455577956,-1.1189502241741969,-1.1189502241741969,-1.1189502241741969,-1.1189502241741969,-1.1189502241741969,-1.1189502241741969,0.02019891825632907,0.02019891825632907,0.02019891825632907,-1.139149142430526,-1.139149142430526,-1.139149142430526,3.6290305584724583
10,2010-04-11,4.743421068304697,4.743421068304697,4.743421068304697,2.8843331809390778,4.868482114429467,-0.8351480326936572,-0.8351480326936572,-0.8351480326936572,-0.8351480326936572,-0.8351480326936572,-0.8351480326936572,0.062000216093178434,0.062000216093178434,0.062000216093178434,-0.8971482487868355,-0.8971482487868355,-0.8971482487868355,3.9082730356110393
