,ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,seasonal,seasonal_lower,seasonal_upper,seasonalities,seasonalities_lower,seasonalities_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,yhat
0,2010-04-01,4.742130924974439,4.742130924974439,4.742130924974439,0.1400797447579834,2.453993281339139,-3.436321156350476,-3.436321156350476,-3.436321156350476,-3.436321156350476,-3.436321156350476,-3.436321156350476,-0.04682683924323256,-0.04682683924323256,-0.04682683924323256,-3.389494317107244,-3.389494317107244,-3.389494317107244,1.3058097686239627
1,2010-04-02,4.737571462440505,4.737571462440505,4.737571462440505,0.3044155697399436,2.5785519509781056,-3.302533379879679,-3.302533379879679,-3.302533379879679,-3.302533379879679,-3.302533379879679,-3.302533379879679,-0.024241060253601836,-0.024241060253601836,-0.024241060253601836,-3.2782923196260776,-3.2782923196260776,-3.2782923196260776,1.4350380825608262
2,2010-04-03,4.733011999906572,4.733011999906572,4.733011999906572,0.564127340984909,2.6708455771298296,-3.168359090513445,-3.168359090513445,-3.168359090513445,-3.168359090513445,-3.168359090513445,-3.168359090513445,-0.01348277950680849,-0.01348277950680849,-0.01348277950680849,-3.1548763110066362,-3.1548763110066362,-3.1548763110066362,1.5646529093931272
3,2010-04-04,4.728452537372639,4.728452537372639,4.728452537372639,0.5822250737078294,2.8162859581261266,-2.998299012465045,-2.998299012465045,-2.998299012465045,-2.998299012465045,-2.998299012465045,-2.998299012465045,0.020735622218740344,0.020735622218740344,0.020735622218740344,-3.019034634683786,-3.019034634683786,-3.019034634683786,1.7301535249075939
4,2010-04-05,4.7238930748387045,4.7238930748387045,4.7238930748387045,0.7169996496438104,3.007142893878311,-2.8523030758699477,-2.8523030758699477,-2.8523030758699477,-2.8523030758699477,-2.8523030758699477,-2.8523030758699477,0.018393461188925507,0.018393461188925507,0.018393461188925507,-2.870696537058874,-2.870696537058874,-2.870696537058874,1.8715899989687568
5,2010-04-06,4.719333612304771,4.719333612304771,4.719333612304771,0.8990836784934919,3.2215830302342625,-2.6731742851098805,-2.6731742851098805,-2.6731742851098805,-2.6731742851098805,-2.6731742851098805,-2.6731742851098805,0.03676437220114126,0.03676437220114126,0.03676437220114126,-2.709938657311022,-2.709938657311022,-2.709938657311022,2.0461593271948906
6,2010-04-07,4.714774149770837,4.714774149770837,4.714774149770837,1.025466656055784,3.2804224935315025,-2.5283315429035293,-2.5283315429035293,-2.5283315429035293,-2.5283315429035293,-2.5283315429035293,-2.5283315429035293,0.008657223394838145,0.008657223394838145,0.008657223394838145,-2.5369887662983674,-2.5369887662983674,-2.5369887662983674,2.1864426068673075
7,2010-04-08,4.7102146872369035,4.710214687236904,4.710214687236904,1.1592142941215002,3.3798317843393098,-2.399053514176617,-2.399053514176617,-2.399053514176617,-2.399053514176617,-2.399053514176617,-2.399053514176617,-0.04682683924321308,-0.04682683924321308,-0.04682683924321308,-2.352226674933404,-2.352226674933404,-2.352226674933404,2.3111611730602863
8,2010-04-09,4.70565522470297,4.70565522470297,4.70565522470297,1.4231680420435604,3.579315156671876,-2.1804233623595817,-2.1804233623595817,-2.1804233623595817,-2.1804233623595817,-2.1804233623595817,-2.1804233623595817,-0.02424106025357438,-0.02424106025357438,-0.02424106025357438,-2.1561823021060076,-2.1561823021060076,-2.1561823021060076,2.5252318623433885
9,2010-04-10,4.701095762169037,4.701095762169037,4.701095762169037,1.5620332173860394,3.865076365631506,-1.9630137403730483,-1.9630137403730483,-1.9630137403730483,-1.9630137403730483,-1.9630137403730483,-1.9630137403730483,-0.013482779506796515,-0.013482779506796515,-0.013482779506796515,-1.9495309608662519,-1.9495309608662519,-1.9495309608662519,2.7380820217959885
