count_date,dam,chinook_adult,chinook_jack,coho_adult,coho_jack,steelhead,wild_steelhead,sockeye,pink,chum,lamprey,shad
2010-01-01,BON,0,0,-3,-1,34,5,0,0,0,0,0
2010-01-02,BON,0,0,0,1,102,33,0,0,0,0,0
2010-01-03,BON,2,0,3,1,51,14,0,0,0,0,0
2010-01-04,BON,0,0,-3,0,14,2,0,0,0,0,0
2010-01-05,BON,0,0,-4,1,25,4,0,0,0,0,0
2010-01-06,BON,0,0,-3,0,46,11,0,0,0,0,0
2010-01-07,BON,0,0,-1,0,19,7,0,0,0,0,0
2010-01-08,BON,1,0,-1,0,16,4,0,0,0,0,0
2010-01-09,BON,0,0,1,0,9,4,0,0,0,0,0
2010-01-10,BON,0,0,2,0,27,7,0,0,0,0,0
2010-01-11,BON,0,0,-2,0,18,11,0,0,0,0,0
2010-01-12,BON,0,0,-1,0,6,0,0,0,0,0,0
2010-01-13,BON,0,0,-1,0,20,2,0,0,0,0,0
2010-01-14,BON,0,0,2,0,38,11,0,0,0,0,0
2010-01-15,BON,0,0,0,0,18,2,0,0,0,0,0
2010-01-16,BON,0,0,1,0,55,17,0,0,0,0,0
2010-01-17,BON,0,0,1,0,77,20,0,0,0,0,0
2010-01-18,BON,0,0,0,0,28,7,0,0,0,0,0
2010-01-19,BON,0,0,0,0,31,5,0,0,0,0,0
2010-01-20,BON,0,0,0,0,12,3,0,0,0,0,0
2010-01-21,BON,0,0,0,0,16,5,0,0,0,0,0
2010-01-22,BON,0,0,0,0,16,7,0,0,0,0,0
2010-01-23,BON,0,0,0,0,20,3,0,0,0,0,0
2010-01-24,BON,0,0,0,0,11,7,0,0,0,0,0
2010-01-25,BON,0,0,0,0,8,1,0,0,0,0,0
2010-01-26,BON,0,0,-1,0,8,-1,0,0,0,0,0
2010-01-27,BON,0,0,-1,0,13,3,0,0,0,0,0
2010-01-28,BON,0,0,0,0,25,9,0,0,0,0,0
2010-01-29,BON,0,0,-1,0,16,3,0,0,0,0,0
2010-01-30,BON,0,0,-1,0,12,5,0,0,0,0,0
2010-01-31,BON,0,0,0,0,12,6,0,0,0,0,0
2010-02-01,BON,0,0,1,0,31,8,0,0,0,0,0
2010-02-02,BON,0,0,0,0,26,4,0,0,0,0,0
2010-02-03,BON,0,0,0,0,22,8,0,0,0,0,0
2010-02-04,BON,0,0,0,0,31,9,0,0,0,0,0
2010-02-05,BON,0,0,-1,0,27,4,0,0,0,0,0
2010-02-06,BON,0,0,0,0,30,8,0,0,0,0,0
2010-02-07,BON,0,0,0,0,27,7,0,0,0,0,0
2010-02-08,BON,0,0,0,0,28,10,0,0,0,0,0
2010-02-09,BON,0,0,0,0,9,5,0,0,0,0,0
2010-02-10,BON,0,0,0,0,6,3,0,0,0,0,0
2010-02-11,BON,0,0,0,0,15,3,0,0,0,0,0
2010-02-12,BON,0,0,0,0,17,10,0,0,0,0,0
2010-02-13,BON,0,0,0,0,20,4,0,0,0,0,0
2010-02-14,BON,0,0,0,0,19,10,0,0,0,0,0
2010-02-15,BON,0,0,0,0,13,4,0,0,0,0,0
2010-02-16,BON,0,0,0,0,25,6,0,0,0,0,0
2010-02-17,BON,0,0,0,0,28,4,0,0,0,0,0
2010-02-18,BON,0,0,0,0,5,2,0,0,0,0,0
2010-02-19,BON,0,0,0,0,10,4,0,0,0,0,0
2010-02-20,BON,0,0,0,0,7,4,0,0,0,0,0
2010-02-21,BON,0,0,0,0,5,2,0,0,0,0,0
2010-02-22,BON,0,0,0,0,10,6,0,0,0,0,0
2010-02-23,BON,0,0,0,0,6,0,0,0,0,0,0
2010-02-24,BON,0,0,0,0,11,6,0,0,0,0,0
2010-02-25,BON,0,0,0,0,27,8,0,0,0,0,0
2010-02-26,BON,0,0,0,0,60,13,0,0,0,0,0
2010-02-27,BON,1,0,0,0,92,24,0,0,0,0,0
2010-02-28,BON,1,0,0,0,78,19,0,0,0,0,0
2010-03-01,BON,3,0,0,0,56,18,0,0,0,0,0
2010-03-02,BON,0,0,0,0,21,7,0,0,0,0,0
2010-03-03,BON,0,0,0,0,34,9,0,0,0,0,0
2010-03-04,BON,0,0,0,0,32,13,0,0,0,0,0
2010-03-05,BON,0,0,0,0,43,18,0,0,0,0,0
2010-03-06,BON,1,0,0,0,17,2,0,0,0,0,0
2010-03-07,BON,0,0,0,0,38,6,0,0,0,0,0
2010-03-08,BON,1,0,0,0,63,13,0,0,0,0,0
2010-03-09,BON,1,0,0,0,55,16,0,0,0,0,0
2010-03-10,BON,2,0,0,0,83,23,0,0,0,0,0
2010-03-11,BON,4,0,0,0,88,27,0,0,0,0,0
2010-03-12,BON,6,0,0,0,91,29,0,0,0,0,0
2010-03-13,BON,7,0,0,0,98,25,0,0,0,0,0
2010-03-14,BON,9,0,0,0,111,39,0,0,0,0,0
2010-03-15,BON,7,2,0,0,142,30,0,0,0,0,0
2010-03-16,BON,11,0,0,0,87,31,0,0,0,0,0
2010-03-17,BON,6,0,0,0,107,42,0,0,0,0,0
2010-03-18,BON,14,0,0,0,72,18,0,0,0,0,0
2010-03-19,BON,25,3,0,0,135,37,0,0,0,0,0
2010-03-20,BON,11,0,0,0,49,24,0,0,0,0,0
2010-03-21,BON,9,0,0,0,54,17,0,0,0,0,0
2010-03-22,BON,22,1,0,0,100,21,0,0,0,0,0
2010-03-23,BON,16,1,0,0,104,27,0,0,0,0,0
2010-03-24,BON,24,1,0,0,96,24,0,0,0,0,0
2010-03-25,BON,35,2,0,0,129,24,0,0,0,0,0
2010-03-26,BON,32,0,0,0,126,46,0,0,0,0,0
2010-03-27,BON,23,0,0,0,106,40,0,0,0,0,0
2010-03-28,BON,26,1,0,0,75,26,0,0,0,0,0
2010-03-29,BON,45,2,0,0,107,44,0,0,0,0,0
2010-03-30,BON,74,1,0,0,99,22,0,0,0,0,0
2010-03-31,BON,54,0,0,0,111,30,0,0,0,0,0
2010-04-01,BON,166,0,0,0,100,31,0,0,0,0,0
2010-04-02,BON,227,1,0,0,58,24,0,0,0,0,0
2010-04-03,BON,159,1,0,0,48,18,0,0,0,0,0
2010-04-04,BON,168,0,0,0,58,19,0,0,0,0,0
2010-04-05,BON,88,0,0,0,58,17,0,0,0,0,0
2010-04-06,BON,229,1,0,0,88,31,0,0,0,0,0
2010-04-07,BON,338,1,0,0,68,27,0,0,0,0,0
2010-04-08,BON,687,2,0,0,113,29,0,0,0,0,0
2010-04-09,BON,1068,1,0,0,91,27,0,0,0,0,0
2010-04-10,BON,3546,7,0,0,135,43,0,0,0,0,0
2010-04-11,BON,1136,1,0,0,105,40,0,0,0,0,0
2010-04-12,BON,1470,2,0,0,88,30,0,0,0,0,0
2010-04-13,BON,1839,4,0,0,43,16,0,0,0,0,0
2010-04-14,BON,3794,12,0,0,69,24,0,0,0,0,0
2010-04-15,BON,7719,30,0,0,130,51,0,0,0,0,0
2010-04-16,BON,6528,38,0,0,122,51,0,0,0,0,0
2010-04-17,BON,7833,34,0,0,138,28,1,0,0,0,0
2010-04-18,BON,2492,18,0,0,110,49,0,0,0,0,0
2010-04-19,BON,7762,52,0,0,97,10,0,0,0,0,0
2010-04-20,BON,9014,40,0,0,102,28,0,0,0,0,0
2010-04-21,BON,11697,44,0,0,81,21,0,0,0,0,0
2010-04-22,BON,7407,34,0,0,70,14,0,0,0,0,0
2010-04-23,BON,6619,39,0,0,58,19,0,0,0,0,0
2010-04-24,BON,5773,46,0,0,67,9,0,0,0,0,0
