count_date,dam,chinook_adult,chinook_jack,coho_adult,coho_jack,steelhead,wild_steelhead,sockeye,pink,chum,lamprey,shad
2010-04-01,JDA,48,0,0,0,126,60,0,0,0,0,0
2010-04-02,JDA,10,0,0,0,61,36,0,0,0,0,0
2010-04-03,JDA,43,1,0,0,138,72,0,0,0,0,0
2010-04-04,JDA,41,0,0,0,84,53,0,0,0,0,0
2010-04-05,JDA,52,0,0,0,62,34,0,0,0,0,0
2010-04-06,JDA,94,1,0,0,73,38,0,0,0,0,0
2010-04-07,JDA,148,0,0,0,55,32,0,0,0,0,0
2010-04-08,JDA,90,0,0,0,74,44,0,0,0,0,0
2010-04-09,JDA,56,0,0,0,32,16,0,0,0,0,0
2010-04-10,JDA,160,1,0,0,66,37,0,0,0,0,0
2010-04-11,JDA,372,1,0,0,53,36,0,0,0,0,0
2010-04-12,JDA,493,7,0,0,86,54,0,0,0,0,0
2010-04-13,JDA,2015,5,0,0,116,76,0,0,0,0,0
2010-04-14,JDA,790,0,0,0,81,64,0,0,0,0,0
2010-04-15,JDA,918,7,0,0,126,86,0,0,0,0,0
2010-04-16,JDA,1375,1,0,0,112,55,0,0,0,0,0
2010-04-17,JDA,2377,9,0,0,106,67,0,0,0,0,0
2010-04-18,JDA,3489,30,0,0,126,70,0,0,0,0,0
2010-04-19,JDA,5908,19,0,0,102,63,0,0,0,0,0
2010-04-20,JDA,4535,62,0,0,78,41,0,0,0,0,0
2010-04-21,JDA,3656,35,0,0,75,54,0,0,0,0,0
2010-04-22,JDA,4364,32,0,0,81,33,0,0,0,0,0
2010-04-23,JDA,6419,45,0,0,59,32,0,0,0,0,0
2010-04-24,JDA,5866,55,0,0,44,23,0,0,0,0,0
2010-04-25,JDA,5774,53,0,0,29,20,0,0,0,0,0
2010-04-26,JDA,5676,46,0,0,38,21,0,0,0,0,0
2010-04-27,JDA,4799,57,0,0,24,14,0,0,0,0,0
2010-04-28,JDA,3681,70,0,0,12,14,0,0,0,0,0
2010-04-29,JDA,2401,43,0,0,13,7,0,0,0,0,0
2010-04-30,JDA,3457,60,0,0,24,14,0,0,0,0,0
2010-05-01,JDA,4855,109,0,0,22,14,0,0,0,0,0
2010-05-02,JDA,7377,109,0,0,16,6,0,0,0,0,0
2010-05-03,JDA,6144,207,0,0,16,12,0,0,0,0,0
2010-05-04,JDA,5332,143,0,0,18,8,0,0,0,0,0
2010-05-05,JDA,6683,192,0,0,22,16,0,0,0,0,0
2010-05-06,JDA,5548,211,0,0,21,7,0,0,0,0,0
2010-05-07,JDA,3802,231,0,0,18,12,0,0,0,0,0
2010-05-08,JDA,4462,216,0,0,15,4,0,0,0,0,0
2010-05-09,JDA,5456,405,0,0,7,5,0,0,0,0,0
2010-05-10,JDA,5968,510,0,0,6,3,0,0,0,1,0
2010-05-11,JDA,4700,465,0,0,20,10,0,0,0,2,0
2010-05-12,JDA,4180,672,0,0,22,6,0,0,0,0,0
2010-05-13,JDA,2832,681,0,0,19,10,0,0,0,6,0
2010-05-14,JDA,1632,406,0,0,13,9,0,0,0,2,0
2010-05-15,JDA,2572,682,0,0,18,6,0,0,0,0,0
2010-05-16,JDA,2587,900,0,0,9,4,0,0,0,1,0
2010-05-17,JDA,3047,719,0,0,24,12,0,0,0,1,0
2010-05-18,JDA,3678,746,0,0,24,5,0,0,0,-3,0
2010-05-19,JDA,2388,449,0,0,19,6,0,0,0,1,0
2010-05-20,JDA,2089,394,0,0,6,1,0,0,0,1,0
2010-05-21,JDA,1490,245,0,0,12,4,0,0,0,0,0
2010-05-22,JDA,1059,194,0,0,6,2,0,0,0,0,0
2010-05-23,JDA,974,194,0,0,9,2,0,0,0,5,0
2010-05-24,JDA,731,120,0,0,5,2,0,0,0,0,0
2010-05-25,JDA,765,130,0,0,7,1,0,0,0,0,0
2010-05-26,JDA,1223,158,0,0,10,2,0,0,0,-1,0
2010-05-27,JDA,1166,197,0,0,2,0,0,0,0,0,0
2010-05-28,JDA,1421,138,0,0,7,1,1,0,0,0,0
2010-05-29,JDA,1320,118,0,0,15,6,1,0,0,0,0
2010-05-30,JDA,1438,112,0,0,17,8,6,0,0,1,0
2010-05-31,JDA,1655,119,0,0,17,3,6,0,0,0,0
2010-06-01,JDA,2065,150,0,0,29,7,39,0,0,0,0
2010-06-02,JDA,2145,189,0,0,19,10,24,0,0,1,0
2010-06-03,JDA,2448,153,0,0,37,11,68,0,0,0,0
2010-06-04,JDA,2821,266,0,0,33,8,100,0,0,0,0
2010-06-05,JDA,2286,224,0,0,31,9,102,0,0,0,0
2010-06-06,JDA,1969,206,0,0,37,7,110,0,0,1,0
2010-06-07,JDA,1549,165,0,0,38,10,152,0,0,2,0
2010-06-08,JDA,1575,192,0,0,52,16,228,0,0,1,0
2010-06-09,JDA,2040,186,0,0,61,12,277,0,0,0,0
2010-06-10,JDA,2224,148,0,0,71,26,272,0,0,1,0
2010-06-11,JDA,1720,111,0,0,62,19,370,0,0,1,0
2010-06-12,JDA,1563,123,0,0,53,18,352,0,0,1,0
2010-06-13,JDA,1017,96,0,0,82,28,534,0,0,4,0
2010-06-14,JDA,1293,206,0,0,107,35,922,0,0,1,0
2010-06-15,JDA,1421,244,0,0,135,37,1620,0,0,1,0
2010-06-16,JDA,1433,192,0,0,216,56,2296,0,0,1,0
2010-06-17,JDA,1093,244,0,0,123,37,2721,0,0,0,0
2010-06-18,JDA,993,110,0,0,148,28,2589,0,0,0,0
2010-06-19,JDA,1192,156,0,0,111,36,2868,0,0,0,0
2010-06-20,JDA,1703,194,0,0,123,29,5696,0,0,0,0
2010-06-21,JDA,2566,301,0,0,248,62,9332,0,0,0,0
2010-06-22,JDA,2302,326,0,0,400,113,13112,0,0,1,0
2010-06-23,JDA,1885,446,0,0,328,91,17448,0,0,1,0
2010-06-24,JDA,1237,356,0,0,382,115,16155,0,0,1,0
2010-06-25,JDA,2465,449,0,0,495,167,23089,0,0,1,0
2010-06-26,JDA,3024,528,0,0,780,306,29360,0,0,4,0
2010-06-27,JDA,2701,556,0,0,917,356,32980,0,0,1,0
2010-06-28,JDA,1863,347,0,0,825,364,25359,0,0,-1,0
2010-06-29,JDA,2367,379,0,0,811,304,21149,0,0,1,0
2010-06-30,JDA,2020,296,0,0,835,394,16920,0,0,8,0
2010-07-01,JDA,1513,296,0,0,746,321,9721,0,0,3,0
2010-07-02,JDA,1342,395,0,0,742,332,10092,0,0,10,0
2010-07-03,JDA,1994,446,0,0,1048,417,10745,0,0,6,0
2010-07-04,JDA,2207,391,0,0,1421,688,9111,0,0,6,0
2010-07-05,JDA,1467,294,0,0,1258,590,8062,0,0,12,0
2010-07-06,JDA,1606,262,0,0,1634,939,8204,0,0,14,0
2010-07-07,JDA,1122,220,0,0,1498,904,5480,0,0,8,0
2010-07-08,JDA,837,255,0,0,1233,747,6218,0,0,27,0
2010-07-09,JDA,1145,261,0,0,1170,683,4659,0,0,18,0
2010-07-10,JDA,1247,323,0,0,1906,1004,4597,0,0,24,0
2010-07-11,JDA,1215,309,1,0,2216,1219,5656,0,0,21,0
2010-07-12,JDA,1187,300,0,0,3734,2047,3809,0,0,12,0
2010-07-13,JDA,1084,217,0,0,3583,2029,3076,0,0,10,0
2010-07-14,JDA,550,85,0,0,2530,1410,1380,0,0,26,0
2010-07-15,JDA,400,84,0,0,2128,1100,858,0,0,15,0
2010-07-16,JDA,539,165,0,0,3234,1648,985,0,0,33,0
2010-07-17,JDA,500,199,0,0,2783,1453,900,0,0,37,0
2010-07-18,JDA,564,149,0,0,3825,1841,1007,0,0,41,0
2010-07-19,JDA,553,143,0,0,2917,1368,897,0,0,15,0
2010-07-20,JDA,430,121,0,0,3217,1511,618,0,0,23,0
2010-07-21,JDA,305,102,0,0,2295,1063,313,0,0,21,0
2010-07-22,JDA,518,101,0,0,3260,1423,274,0,0,37,0
2010-07-23,JDA,324,67,0,0,2630,1143,191,0,0,30,0
2010-07-24,JDA,161,33,0,0,2547,1120,127,0,0,33,0
2010-07-25,JDA,243,97,0,0,3785,1664,194,0,0,20,0
2010-07-26,JDA,263,96,1,0,3740,1699,137,0,0,41,0
2010-07-27,JDA,375,71,1,1,3675,1643,133,0,0,22,0
2010-07-28,JDA,328,74,2,1,2902,1362,102,0,0,35,0
2010-07-29,JDA,161,27,0,0,1476,668,60,0,0,34,0
2010-07-30,JDA,364,90,2,1,2256,1086,52,0,0,38,0
2010-07-31,JDA,240,71,0,0,1882,813,47,0,0,36,0
2010-08-01,JDA,295,37,0,0,2482,1100,23,0,0,67,0
2010-08-02,JDA,231,58,0,0,2185,908,29,0,0,50,0
2010-08-03,JDA,146,30,0,0,1356,522,13,0,0,52,0
2010-08-04,JDA,180,31,0,0,1081,442,13,0,0,50,0
2010-08-05,JDA,104,18,1,0,1060,408,8,0,0,41,0
2010-08-06,JDA,281,53,0,0,1499,585,14,0,0,46,0
2010-08-07,JDA,312,66,0,0,1023,440,13,0,0,39,0
2010-08-08,JDA,221,41,0,0,667,278,7,0,0,56,0
2010-08-09,JDA,170,45,0,0,672,285,8,0,0,33,0
2010-08-10,JDA,202,51,0,0,644,190,7,0,0,27,0
2010-08-11,JDA,190,41,0,0,661,221,4,0,0,30,0
2010-08-12,JDA,90,42,0,1,551,161,3,0,0,20,0
2010-08-13,JDA,116,16,0,0,623,192,0,0,0,32,0
2010-08-14,JDA,194,30,0,0,496,160,0,0,0,19,0
2010-08-15,JDA,249,64,0,0,419,153,2,0,0,25,0
2010-08-16,JDA,79,18,0,0,288,78,0,0,0,25,0
2010-08-17,JDA,57,33,0,0,225,85,0,0,0,29,0
2010-08-18,JDA,159,42,0,0,250,79,0,0,0,44,0
2010-08-19,JDA,195,51,0,0,198,66,0,0,0,13,0
2010-08-20,JDA,228,50,1,0,158,58,1,0,0,21,0
2010-08-21,JDA,225,76,0,0,263,76,1,0,0,16,0
2010-08-22,JDA,695,144,0,0,601,168,0,0,0,16,0
2010-08-23,JDA,338,63,0,1,1123,243,0,0,0,8,0
2010-08-24,JDA,787,136,0,0,1186,334,0,0,0,3,0
2010-08-25,JDA,1078,136,-1,0,1343,389,1,0,0,1,0
2010-08-26,JDA,1520,216,11,0,1415,413,0,0,0,11,0
2010-08-27,JDA,2280,430,22,3,1976,585,4,0,0,8,0
2010-08-28,JDA,2324,268,5,5,2324,672,4,0,0,7,0
2010-08-29,JDA,4265,858,77,19,3460,971,-1,0,0,4,0
2010-08-30,JDA,4236,798,124,21,3619,1012,-1,0,0,9,0
2010-08-31,JDA,3277,723,79,6,2358,689,0,0,0,3,0
2010-09-01,JDA,3888,851,59,7,1917,517,0,0,0,5,0
2010-09-02,JDA,4560,918,118,29,2515,720,0,0,0,5,0
2010-09-03,JDA,5092,802,185,24,3450,1055,4,0,0,10,0
2010-09-04,JDA,4437,647,182,25,5859,1773,0,0,0,5,0
2010-09-05,JDA,7849,721,765,132,8654,2593,0,0,0,14,0
2010-09-06,JDA,5774,773,363,34,5593,1475,0,0,0,3,0
2010-09-07,JDA,8399,1167,840,68,6300,1865,2,0,0,19,0
2010-09-08,JDA,6668,1054,382,35,4726,1363,0,0,0,4,0
2010-09-09,JDA,6968,993,596,72,5188,1546,2,0,0,4,0
2010-09-10,JDA,6871,1434,540,46,4344,1176,0,0,0,2,0
2010-09-11,JDA,4029,1168,566,48,3256,911,0,0,0,6,0
2010-09-12,JDA,3558,823,615,37,3960,1104,0,0,0,6,0
2010-09-13,JDA,4462,970,698,36,5861,1681,0,0,0,4,0
2010-09-14,JDA,2154,486,259,12,3268,880,0,0,0,2,0
2010-09-15,JDA,2300,476,258,12,3734,1011,0,0,0,0,0
2010-09-16,JDA,4441,1138,397,7,4044,967,0,0,0,-1,0
2010-09-17,JDA,5215,588,426,25,4501,1330,0,0,0,3,0
2010-09-18,JDA,4976,1492,580,52,4186,1260,0,0,0,3,0
2010-09-19,JDA,5906,762,241,20,3518,1201,0,0,0,1,0
2010-09-20,JDA,5405,1759,496,73,7909,2748,0,0,0,-2,0
2010-09-21,JDA,5700,1372,669,89,6295,2055,0,0,0,-1,0
