count_date,dam,chinook_adult,chinook_jack,coho_adult,coho_jack,steelhead,wild_steelhead,sockeye,pink,chum,lamprey,shad
2010-04-01,MCN,8,0,0,0,105,52,0,0,0,0,0
2010-04-02,MCN,16,0,0,0,155,66,0,0,0,0,0
2010-04-03,MCN,27,0,0,0,98,46,0,0,0,0,0
2010-04-04,MCN,14,0,0,0,4,-24,0,0,0,0,0
2010-04-05,MCN,19,0,0,0,34,21,0,0,0,0,0
2010-04-06,MCN,22,1,0,0,-17,-21,0,0,0,0,0
2010-04-07,MCN,45,1,0,0,81,23,0,0,0,0,0
2010-04-08,MCN,42,2,0,0,58,27,0,0,0,0,0
2010-04-09,MCN,96,1,0,0,67,35,0,0,0,0,0
2010-04-10,MCN,72,0,0,0,87,41,0,0,0,0,0
2010-04-11,MCN,53,1,0,0,48,37,0,0,0,0,0
2010-04-12,MCN,90,2,0,0,79,49,0,0,0,0,0
2010-04-13,MCN,158,2,0,0,91,54,0,0,0,0,0
2010-04-14,MCN,352,2,0,0,121,82,0,0,0,0,0
2010-04-15,MCN,814,0,0,0,63,40,0,0,0,0,0
2010-04-16,MCN,890,3,0,0,82,42,0,0,0,0,0
2010-04-17,MCN,762,8,0,0,96,54,0,0,0,0,0
2010-04-18,MCN,1446,11,0,0,125,80,0,0,0,0,0
2010-04-19,MCN,1363,17,0,0,90,48,0,0,0,0,0
2010-04-20,MCN,1818,3,0,0,51,25,0,0,0,0,0
2010-04-21,MCN,5449,46,0,0,95,59,0,0,0,0,0
2010-04-22,MCN,3633,25,0,0,51,36,0,0,0,0,0
2010-04-23,MCN,2888,25,0,0,60,41,0,0,0,0,0
2010-04-24,MCN,3624,46,0,0,59,32,0,0,0,0,0
2010-04-25,MCN,4730,96,0,0,63,46,0,0,0,0,0
2010-04-26,MCN,2608,35,0,0,35,23,0,0,0,0,0
2010-04-27,MCN,4956,71,0,0,16,12,0,0,0,0,0
2010-04-28,MCN,5304,98,0,0,33,22,0,0,0,0,0
2010-04-29,MCN,2997,41,0,0,25,16,0,0,0,0,0
2010-04-30,MCN,3016,30,0,0,19,11,0,0,0,0,0
2010-05-01,MCN,2586,27,0,0,15,9,0,0,0,0,0
2010-05-02,MCN,3147,48,0,0,12,6,0,0,0,0,0
2010-05-03,MCN,4817,85,0,0,10,5,0,0,0,0,0
2010-05-04,MCN,6615,128,0,0,16,9,0,0,0,0,0
2010-05-05,MCN,5117,95,0,0,17,7,0,0,0,0,0
2010-05-06,MCN,4556,121,0,0,13,10,0,0,0,0,0
2010-05-07,MCN,7375,122,0,0,9,4,0,0,0,0,0
2010-05-08,MCN,4715,150,0,0,5,3,0,0,0,0,0
2010-05-09,MCN,4179,196,0,0,9,8,0,0,0,0,0
2010-05-10,MCN,4549,196,0,0,10,6,0,0,0,1,-6
2010-05-11,MCN,4555,229,0,0,17,11,0,0,0,0,0
2010-05-12,MCN,4136,300,0,0,8,6,0,0,0,1,0
2010-05-13,MCN,3452,297,0,0,3,1,0,0,0,-1,0
2010-05-14,MCN,3184,450,0,0,10,6,0,0,0,0,0
2010-05-15,MCN,1697,287,0,0,17,5,0,0,0,-1,0
2010-05-16,MCN,1880,372,0,0,12,6,0,0,0,0,1
2010-05-17,MCN,1851,448,0,0,22,10,0,0,0,0,0
2010-05-18,MCN,2624,561,0,0,17,7,0,0,0,0,0
2010-05-19,MCN,3100,553,0,0,17,9,0,0,0,0,0
2010-05-20,MCN,2858,562,0,0,16,2,0,0,0,0,0
2010-05-21,MCN,2206,351,0,0,13,5,0,0,0,0,1
2010-05-22,MCN,2040,330,0,0,17,3,0,0,0,0,1
2010-05-23,MCN,1400,194,0,0,12,2,0,0,0,0,0
2010-05-24,MCN,655,162,0,0,10,4,0,0,0,0,0
2010-05-25,MCN,825,148,0,0,12,8,0,0,0,0,5
2010-05-26,MCN,522,101,0,0,9,4,0,0,0,0,8
2010-05-27,MCN,1085,160,0,0,7,0,0,0,0,0,5
2010-05-28,MCN,1377,150,0,0,22,5,1,0,0,0,8
2010-05-29,MCN,1199,181,0,0,10,4,1,0,0,0,1
2010-05-30,MCN,1328,129,0,0,13,6,1,0,0,0,6
2010-05-31,MCN,1460,122,0,0,17,5,4,0,0,0,12
2010-06-01,MCN,1148,109,0,0,9,0,6,0,0,0,18
2010-06-02,MCN,1426,130,0,0,18,6,9,0,0,0,66
2010-06-03,MCN,1377,150,0,0,9,1,9,0,0,0,139
2010-06-04,MCN,2325,182,0,0,17,1,10,0,0,0,61
2010-06-05,MCN,2540,203,0,0,21,6,36,0,0,0,378
2010-06-06,MCN,2217,191,0,0,28,6,43,0,0,0,1185
2010-06-07,MCN,1795,177,0,0,14,6,69,0,0,0,911
