count_date,dam,chinook_adult,chinook_jack,coho_adult,coho_jack,steelhead,wild_steelhead,sockeye,pink,chum,lamprey,shad
2010-04-01,TDA,42,0,0,0,123,42,0,0,0,0,0
2010-04-02,TDA,36,0,0,0,68,36,0,0,0,0,0
2010-04-03,TDA,90,0,0,0,69,32,0,0,0,0,0
2010-04-04,TDA,131,0,0,0,56,27,0,0,0,0,0
2010-04-05,TDA,142,-1,0,0,55,21,0,0,0,0,0
2010-04-06,TDA,139,0,0,0,42,12,0,0,0,0,0
2010-04-07,TDA,144,1,0,0,78,41,0,0,0,0,0
2010-04-08,TDA,143,0,0,0,80,34,0,0,0,0,0
2010-04-09,TDA,234,0,0,0,78,40,0,0,0,0,0
2010-04-10,TDA,517,1,0,0,80,46,0,0,0,0,0
2010-04-11,TDA,1133,1,0,0,90,51,0,0,0,0,0
2010-04-12,TDA,2126,5,0,0,94,43,0,0,0,0,1
2010-04-13,TDA,1147,3,0,0,94,50,0,0,0,0,0
2010-04-14,TDA,1237,2,0,0,90,42,0,0,0,0,0
2010-04-15,TDA,1508,7,0,0,79,41,0,0,0,0,0
2010-04-16,TDA,3512,3,0,0,87,58,0,0,0,0,0
2010-04-17,TDA,5619,7,0,0,96,55,0,0,0,0,0
2010-04-18,TDA,5888,40,0,0,89,55,0,0,0,0,0
2010-04-19,TDA,4264,14,0,0,56,35,1,0,0,0,0
2010-04-20,TDA,2837,14,0,0,72,34,0,0,0,0,0
2010-04-21,TDA,4218,22,0,0,56,30,0,0,0,0,0
2010-04-22,TDA,8292,24,0,0,61,30,0,0,0,0,0
2010-04-23,TDA,6002,41,0,0,38,25,0,0,0,0,0
2010-04-24,TDA,6254,31,0,0,40,20,0,0,0,0,0
2010-04-25,TDA,5596,84,0,0,32,25,0,0,0,0,0
2010-04-26,TDA,4629,34,0,0,25,15,0,0,0,0,0
2010-04-27,TDA,4667,21,0,0,20,12,0,0,0,0,0
2010-04-28,TDA,2732,41,0,0,18,10,0,0,0,0,0
2010-04-29,TDA,4563,75,0,0,15,7,0,0,0,0,0
2010-04-30,TDA,5388,85,0,0,20,11,0,0,0,0,0
2010-05-01,TDA,7142,173,0,0,20,7,0,0,0,0,0
2010-05-02,TDA,5743,140,0,0,28,12,0,0,0,0,0
2010-05-03,TDA,5308,142,0,0,22,18,1,0,0,0,0
2010-05-04,TDA,6805,168,0,0,15,6,0,0,0,0,0
2010-05-05,TDA,5820,218,0,0,12,7,0,0,0,0,0
2010-05-06,TDA,3390,197,0,0,15,4,0,0,0,0,0
2010-05-07,TDA,4118,181,0,0,12,1,0,0,0,0,0
2010-05-08,TDA,5571,326,0,0,20,8,0,0,0,0,1
2010-05-09,TDA,5532,471,0,0,29,12,0,0,0,0,0
2010-05-10,TDA,5252,431,0,0,12,5,0,0,0,0,1
2010-05-11,TDA,4955,742,0,0,28,13,0,0,0,0,0
2010-05-12,TDA,3595,665,0,0,14,6,0,0,0,0,6
2010-05-13,TDA,1807,458,0,0,11,3,0,0,0,0,9
2010-05-14,TDA,2535,720,0,0,13,2,0,0,0,0,2
2010-05-15,TDA,2532,791,0,0,21,8,0,0,0,0,2
2010-05-16,TDA,3613,739,0,0,21,4,0,0,0,0,25
2010-05-17,TDA,3867,753,0,0,43,11,1,0,0,0,52
2010-05-18,TDA,2577,452,0,0,13,5,0,0,0,0,53
2010-05-19,TDA,1986,402,0,0,14,4,0,0,0,0,58
2010-05-20,TDA,1531,223,0,0,9,4,-1,0,0,0,74
2010-05-21,TDA,1050,222,0,0,8,5,0,0,0,0,33
2010-05-22,TDA,885,150,0,0,8,2,0,0,0,0,55
2010-05-23,TDA,798,156,0,0,10,3,0,0,0,0,53
